1,1,5
2,2,5
3,3,5
2,4,5
1,5,5
3,6,5
2,7,5
1,8,5
1,9,5
2,10,5
11,1,3
12,5,3
13,8,3
11,9,3
111,1,1
111,5,1
112,8,1
112,9,1
1111,2,1
1111,7,1
1112,10,1
11111,3,1
11112,6,1
1112,2,1
11111,11,1
11112,11,1
13,11,2
12,11,2
196,242,3
186,302,3
22,377,1
244,51,2
166,346,1
298,474,4
115,265,2
253,465,5
305,451,3
6,86,3
62,257,2
286,1014,5
200,222,5
210,40,3
224,29,3
303,785,3
122,387,5
194,274,2
291,1042,4
234,1184,2
119,392,4
167,486,4
299,144,4
291,118,2
308,1,4
95,546,2
38,95,5
102,768,2
63,277,4
160,234,5
50,246,3
301,98,4
225,193,4
290,88,4
97,194,3
157,274,4
181,1081,1
278,603,5
276,796,1
7,32,4
10,16,4
284,304,4
201,979,2
276,564,3
287,327,5
246,201,5
242,1137,5
249,241,5
99,4,5
178,332,3
251,100,4
81,432,2
260,322,4
25,181,5
59,196,5
72,679,2
87,384,4
290,143,5
42,423,5
292,515,4
115,20,3
20,288,1
201,219,4
13,526,3
246,919,4
138,26,5
167,232,1
60,427,5
57,304,5
223,274,4
189,512,4
243,15,3
92,1049,1
246,416,3
194,165,4
241,690,2
178,248,4
254,1444,3
293,5,3
127,229,5
225,237,5
299,229,3
225,480,5
276,54,3
291,144,5
222,366,4
267,518,5
42,403,3
11,111,4
95,625,4
8,338,4
162,25,4
87,1016,4
279,154,5
145,275,2
119,1153,5
62,498,4
62,382,3
28,209,4
135,23,4
32,294,3
90,382,5
